Description,Estimated,Other Authorization,Total,Total Actual
Justice Services,197467000,8520916,205987916,203177765
Indigenous Justice Secretariat,22363000,0,22363000,14438125
Prosecution Services,212499000,11764000,224263000,230697044
Court Services,156067000,14806000,170873000,184766578
Legal Services,40682000,2602000,43284000,44930924
"Agencies, Boards, Commissions and Other Tribunals - Agencies, Boards, Commissions and Other Tribunals",52505000,1091000,53596000,54861947
"Agencies, Boards, Commissions and Other Tribunals - British Columbia Utilities Commission",1000,0,1000,0
Multiculturalism and Anti-Racism,6804000,5148000,11952000,11553714
Executive and Support Services - Minister's Office,891000,14000,905000,849893
Executive and Support Services - Corporate Services,40045000,12027000,52072000,40020926
Judiciary - Superior Courts,24002000,1955494,25957494,25957494
Judiciary - Provincial Courts,86669000,1517653,88186653,88186653
Crown Proceeding Act,24500000,0,24500000,0
Independent Investigations Office,12428000,1462912,13890912,13890912
"Cannabis, Consumer Protection and Corporate Policy (Transfer from Ministry of Public Safety and Solicitor General)",,233000,233000,233000
Public Guardian and Trustee Operating Account,12394000,0,12394000,11852624
Transfer from General Account to Public Guardian and Trustee Operating Account,-12394000,0,-12394000,-12394000
Adjustment of Prior Year Accrual,0,0,0,-38822538
Total Expense,876923000,61141975,938064975,874201061
