Description,Estimated,Other Authorizations,Total,Total Actual
Educational Institutions and Organizations (Transferred from Ministry of Post-Secondary Education and Future Skills) - Educational Institutions and Organizations,0,3257000,3257000,3282109
Executive and Support Services (Transferred from Ministry of Post-Secondary Education and Future Skills) - Corporate Services,0,2211000,2211000,2056396
Public Schools (Transferred from Ministry of Education and Child Care) - Public Schools,0,23495000,23495000,23465201
Transfers to Other Partners (Transferred from Ministry of Education and Child Care) - Transfers to Other Partners,0,1000000,1000000,963318
Executive and Support Services (Transferred from Ministry of Education and Child Care) - Corporate Services,0,4085354,4085354,4151835
Executive and Support Services (Transferred from Ministry of Health) - Stewardship and Corporate Services,0,9315000,9315000,7416173
Executive and Support Services (Transferred from Ministry of Mental Health and Addictions) - Minister's Office,0,715000,715000,713400
Executive and Support Services (Transferred from Ministry of Mental Health and Addictions) - Corporate Services,0,2296000,2296000,2616615
Executive and Support Services (Transferred from Ministry of Municipal Affairs) - Corporate Services,0,803000,803000,801593
Total Expense,0,47177354,47177354,45466640
