Description,Estimated,Other Authorization,Total,Total Actual
Local Government - Local Government Services and Transfers,216232000,-216232000,0,0
Local Government - University Endowment Lands,6200000,-6200000,0,0
Immigration Services and Strategic Planning - Strategic Planning,783000,-783000,0,0
Immigration Services and Strategic Planning - Provincial Nominee Program,1000,-1000,0,0
Immigration Services and Strategic Planning - Workforce and Immigration,37720000,-37720000,0,0
Immigration Services and Strategic Planning - Community Gaming Grants,2452000,-2452000,0,0
Executive and Support Services - Corporate Services,9342000,-9342000,0,0
Executive and Support Services - Ministers Office,693000,-693000,0,0
University Endowment Lands Administration Account,14882000,-14882000,0,0
Total Expense,288305000,-288305000,0,0
