Description,Estimated,Other Authorization,Total,Total Actual
Auditor General,26356000,,26356000,24378383
Conflict of Interest Commissioner,899000,,899000,739043
Elections BC,94749000,,94749000,90856629
Human Rights Commissioner,7668000,,7668000,7651549
Information and Privacy Commissioner,11011000,563274,11574274,11574274
Merit Commissioner,1667000,,1667000,1628668
Ombudsperson,15081000,,15081000,14961272
Police Complaint Commissioner,8296000,1010144,9306144,9306144
Representative for Children and Youth,12829000,87130,12916130,12916130
Adjustment of Prior Year Accrual,0,0,0,-290566
Total Expense,178556000,1660548,180216548,173721526
