Source,Description,Estimated,Authorized,Total Actual,Actual
Ministry of Jobs,Trade and Industry Development - Trade and Industry Development,29739000,,31637318,
Ministry of Jobs,Small Business and Economic Development - Small Business and Economic Development,7903000,,6980387,
Ministry of Jobs,Small Business and Economic Development - Regional Development,27987000,,101724335,
Ministry of Jobs,Investment and Sustainable Economy - Investment and Sustainable Economy,13936000,,36966491,
Ministry of Jobs,Transfers to Crown Corporations and Agencies - Forestry Innovation Investment Ltd,20187000,,20366000,
Ministry of Jobs,Transfers to Crown Corporations and Agencies - Innovate BC,6312000,,13143000,
Ministry of Jobs,Executive and Support Services - Ministers' Offices,1364000,,1180467,
Ministry of Jobs,Executive and Support Services - Corporate Services,7850000,,7797961,
Ministry of Jobs,Statutory - Northern Development Fund - Northern Development Fund,500000,,385000,
Ministry of Jobs,Adjustment of Prior Year Accrual,0,,-935089,
Ministry of Jobs,Total Expense,115778000,,219245870,
Ministry of Tourism,Tourism Sector Strategy - Tourism Sector Strategy,25908000,,26450811,
Ministry of Tourism,Arts and Culture - Arts and Culture,38965000,,40338464,
Ministry of Tourism,Sport and Creative Sector - Sport,23480000,,48834325,
Ministry of Tourism,Sport and Creative Sector - Creative Sector,3637000,,3846724,
Ministry of Tourism,Transfers to Crown Corporations and Agencies - BC Games Society,2228000,,2152000,
Ministry of Tourism,Transfers to Crown Corporations and Agencies - B.C. Pavilion Corporation,8388000,,9791000,
Ministry of Tourism,Transfers to Crown Corporations and Agencies - Destination BC Corp,56268000,,56431000,
Ministry of Tourism,Transfers to Crown Corporations and Agencies - Knowledge Network Corporation,6611000,,6611000,
Ministry of Tourism,Transfers to Crown Corporations and Agencies - Royal British Columbia Museum,13086000,,26962851,
Ministry of Tourism,Executive and Support Services - Minister's Office,852000,,790392,
Ministry of Tourism,Executive and Support Services - Corporate Services,1566000,,1365238,
Ministry of Tourism,Statutory - Immigration Services and Strategic Planning (Transferred from Municipal Affairs) - Community Gaming Grants,0,,2434995,
Ministry of Tourism,Executive and Support Services (Transferred from Municipal Affairs) - Corporate Services,0,,0,
Ministry of Tourism,BC Arts and Culture Endowment - BC Arts and Culture Endowment,4230000,,3795000,
Ministry of Tourism,Physical Fitness and Amateur Sports Fund - Physical Fitness and Amateur Sports Fund,1200000,,1200000,
Ministry of Tourism,Adjustment of Prior Year Accrual,0,,-188308,
Ministry of Tourism,Total Expense,186419000,,230815492,
Ministry of Water,Land Use Planning and Cumulative Effects,58428000,,96709868,
Ministry of Water,Resource Stewardship,41365000,,32241586,
Ministry of Water,"Water, Fisheries and Coast",14244000,,52372705,
Ministry of Water,Natural Resource Information and Digital Services,28803000,,39543535,
Ministry of Water,"Reconciliation, Lands and Natural Resource Policy",11610000,,40442096,
Ministry of Water,Permitting Transformation,29516000,,52563363,
Ministry of Water,Executive and Support Services - Minister's Office,876000,,935906,
Ministry of Water,Executive and Support Services - Corporate Services,28925000,,33227157,
Ministry of Water,Statutory - Crown Land special account,500000,,90695786,
Ministry of Water,Transfers from Crown Land to General Account,0,,-90195786,
Ministry of Water,Adjustment of Prior Year Accrual,0,,-916239,
Ministry of Water,Total Expense,214267000,,347619977,
Capital Funding,Schools (Minister of Infrastructure),1046194000,,880550918,
Capital Funding,Health Facilities (Minister of Infrastructure),3529550000,,2399774756,
Capital Funding,Housing (Minister of Housing and Municipal Affairs),735275000,,367505628,
Capital Funding,Post-secondary Institutions (Minister of Infrastructure),1107256000,,690309624,
Capital Funding,"B.C. Pavilion Corporation (Minister of Tourism, Arts, Culture and Sport)",10000000,,9999801,
Capital Funding,Royal British Columbia Museum (Minister of Infrastructure),136922000,,86892037,
Capital Funding,Other Capital Projects (Minister of Finance),100000000,,3443862,
Capital Funding,Total Expense,6665197000,,4438476626,
Legislative Assembly,Caucus Operations,10300000,,9980774,
Legislative Assembly,Constituency Operations,35557000,,29287048,
Legislative Assembly,Members' Remuneration,25299000,,26600820,
Legislative Assembly,Independent Respectful Workplace Office,250000,,102318,
Legislative Assembly,Parliamentary Operations,1372000,,892167,
Legislative Assembly,Legislative Assembly Administration,53395000,,49974608,
Legislative Assembly,General Centralized and Accounting,3487000,,5174008,
Legislative Assembly,Adjustment of Prior Year Accrual,0,,-30000,
Legislative Assembly,Total Expense,129660000,,121981743,
Management of Public Funds and Debt,Cost of Borrowing for Government Operating and Capital Funding (Net of Recoveries) - Cost of Borrowing for Government Operating and Capital Funding,1976471000,,2343174511,
