Expenses,Actuals
Ministry Support Services,0.004047
First Nations and Metis Relations,0.034127
Indigenous Women's Initiatives,0.008241
First Nations Development Fund,0.148598
Metis Settlements Appeal Tribunal,0.001328
"Consultation, Land and Policy",0.017405
Investing in Canada Infrastructure,0.003479
Land and Legal Settlements,0.000419
Alberta Indigenous Opportunities Corporation,0.006989
Inter-ministry Consolidation Adjustments,-0.000088
Adjusted Ministry Total,0.224545
Audited Total Expense,0.225
