Expenses,Actuals (Billions)
Ministry Support Services,0.010654
Program Services and Support,0.044009
Traffic Safety Programs,0.054476
Provincial Highway Maintenance,1.28545
Municipal Transit and Transportation Grant Programs,0.482889
Municipal Water Infrastructure Grant Programs,0.055864
Federal Grant Programs,0.280036
Legal Obligations,0
Ring Roads - Debt Servicing,0.116241
Transfer of Capital Asset to Other Ministries,0.036449
Inter-ministry consolidation adjustments,-0.037997
Adjusted Ministry Total,2.328071
Audited Total Expense,2.328
