Description,Estimated,Other Authorization,Total,Total Actual
Treasury Board Staff,9910000,0,9910000,9382273
Office of the Comptroller General,20903000,0,20903000,22742775
Internal Audit and Advisory Services,2819000,0,2819000,3291871
Treasury,1000,0,1000,0
Revenue Division,284501000,7826453,292327453,295994941
Policy and Legislation,8999000,0,8999000,10433800
Public Sector Employers' Council Secretariat,31257000,465000,31722000,31737813
Crown Agencies Secretariat,8243000,0,8243000,7804146
Executive and Support Services,980000,0,980000,1123172
Corporate Services,45494000,0,45494000,38887662
Government Communications,31660000,8818907,40478907,40478907
BC Public Service Agency,69815000,8019234,77834234,77834234
Pension Contribution and Retirement Benefits,491241000,,491241000,553947863
Employer Health Tax,60126000,,60126000,69789123
Employee Health Benefits,169995000,,169995000,183301320
Long Term Disability,52668000,,52668000,61172246
Other Benefits,9082000,,9082000,11308897
Benefits Administration,11542000,,11542000,11830258
Recoveries,-794653000,,-794653000,-891349707
"Executive and Support Services(Transferred from Jobs, Economic Development and Innovation)",0,132000,132000,43325
Executive and Support Services(Transferred from Mental Health and Addictions),0,676000,676000,684000
Housing Priority Initiatives special account,1038949000,819253290,1858202290,1858202290
Insurance and Risk Management Account,6218000,19485585,25703585,25703585
Long Term Disability Fund special account,83469000,,83469000,54925980
Provincial Home Acquisition Wind Up special account,10000,,10000,0
Land Tax Deferment Act,81000000,,81000000,58829000
Statutory Account,,222907121,222907121,222907121
Transfer from General Account to Long Term Disability Fund special account,-53999000,-8744258,-62743258,-62743258
Transfer from General Account to First Nations Equity Financing special account...,,-10000000,-10000000,-10000000
Adjustment of Prior Year Accrual,0,0,0,-31969011
Total Expense,1670230000,1068839332,2739069332,2656294626
