Description,Estimated,Other Authorizations,Total,Total Actual
Income Assistance - Income Assistance - Program Management,194598000,0,194598000,198868090
Income Assistance - Temporary Assistance,703312000,0,703312000,649722252
Income Assistance - Disability Assistance,2103535000,0,2103535000,2082404155
Income Assistance - Supplementary Assistance,500724000,0,500724000,506802348
Employment - Employment Programs,30896000,0,30896000,31863493
Employment - Labour Market Development Agreement,1000,0,1000,0
Community Living Services - Community Living Services,1626906000,0,1626906000,1687582000
Employment and Assistance Appeal Tribunal - Employment and Assistance Appeal Tribunal,1945000,0,1945000,1911039
Executive and Support Services - Minister's Office,941000,0,941000,863448
Executive and Support Services - Corporate Services,13114000,0,13114000,15955173
Adjustment of Prior Year Accrual,0,0,0,-229032
Total Expense,5175972000,0,5175972000,5175742966
