Description,Estimated,Other Authorizations,Total,Total Actual
Transportation and Infrastructure Improvements - Transportation Policy and Programs,24494000,14010000,38504000,36877581
Transportation and Infrastructure Improvements - Transportation Investments,1000,0,1000,0
Transportation and Infrastructure Improvements - Partnerships,1000,0,1000,0
Transportation and Infrastructure Improvements - Port and Airport Development,2832000,40000,2872000,2208710
Transportation and Infrastructure Improvements - Enhancing Economic Development,1169000,1213408,2382408,4674117
Public Transportation - Public Transit,165437000,310682220,476119220,481131246
Public Transportation - Coastal Ferry Services,207914000,0,207914000,204789795
Highway Operations - Maintenance and Operations,642980000,3728084,646708084,651730891
Highway Operations - Commercial Vehicle Safety and Enforcement,32257000,0,32257000,28906847
Highway Operations - Inland Ferries,29998000,0,29998000,28325346
Commercial Transportation Regulation - Container Trucking Commissioner,1000,0,1000,55905
Commercial Transportation Regulation - Passenger Transportation Branch,1968000,0,1968000,588082
Executive and Support Services - Ministers' Offices,1082000,0,1082000,1121750
Executive and Support Services - Corporate Services,25305000,0,25305000,24702442
Adjustment of Prior Year Accrual,0,0,0,-6259066
Total Expense,1135439000,329673712,1465112712,1458853646
