Description,Estimated,Other Authorizations,Total,Total Actual
Trade and Industry Development - Trade and Industry Development,29739000,3113954,32852954,31637318
Small Business and Economic Development - Small Business and Economic Development,7903000,187000,8090000,6980387
Small Business and Economic Development - Regional Development,27987000,74188410,102175410,101724335
Investment and Sustainable Economy - Investment and Sustainable Economy,13936000,19804920,33740920,36966491
Transfers to Crown Corporations and Agencies - Forestry Innovation Investment Ltd,20187000,179000,20366000,20366000
Transfers to Crown Corporations and Agencies - Innovate BC,6312000,6831000,13143000,13143000
Executive and Support Services - Ministers' Offices,1364000,-112000,1252000,1180467
Executive and Support Services - Corporate Services,7850000,237000,8087000,7797961
Statutory - Northern Development Fund - Northern Development Fund,500000,0,500000,385000
Adjustment of Prior Year Accrual,0,0,0,-935089
Total Expense,115778000,104429284,220207284,219245870
