Description,Estimated,Other Authorization,Total,Total Actual
Early Childhood Development,45701000,376000,46077000,43145650
Services for Children and Youth with Support Needs,590207000,56710279,646917279,648192368
Child and Youth Mental Health Services,128213000,4374000,132587000,129096093
"Child Safety, Family Support and Children in Care Services",1064630000,199073000,1263703000,1269136105
Adoption Services,40224000,383000,40607000,34490176
Youth Justice Services,54295000,3429000,57724000,46858790
Service Delivery Support,174142000,38854000,212996000,228492972
Executive and Support Services (Minister's Office),835000,23000,858000,824260
"Executive and Support Services (Corporate Services)""",22950000,6160000,29110000,30342865
Statutory Account,0,0,0,0
Adjustment of Prior Year Accrual,0,0,0,-845984
Total Expense,2121197000,309382279,2430579279,2429733295
